BscStartDate,Asset,OriginalShorttext,PMType,Cost
2004-07-01,A,BUCKET WON'T OPEN,PM01,183.05
2005-03-20,A,L/H BUCKET CYL LEAKING.,PM01,407.4
2006-05-05,A,SWAP BUCKET,PM01,0
2006-07-11,A,FIT BUCKET TOOTH,PM01,0
2006-11-10,A,REFIT BUCKET TOOTH,PM01,1157.27
2008-04-21,A,REPAIR LOOSE BUCKET CYLINDER,PM01,0
2008-10-02,A,REPLACE 2 BUCKET TEETH,PM01,1256.62
2001-07-12,B,REPLACE MISSING LIP TIPS,PM01,1281.36
2001-07-19,B,REPLACE LIP,PM01,1251.52
2001-10-01,B,rebuild lip #3,PM01,0
2001-10-10,B,REPLACE BUCKET TEETH.,PM01,681.1
2001-10-29,B,Repair RH120 lip at P&H,PM01,22611.06
2001-11-06,B,replace missing tip,PM01,1239.29
2001-11-13,B,replace missing tip& adaptor.,PM01,221.15
2001-11-16,B,Replace centre and LH lip shrouds,PM01,2118.87
2002-01-15,B,OIL LEAK ON BUCKET....,PM01,0
2002-02-06,B,REPLACE ADAPTOR LOCK,PM01,346.47
2002-02-22,B,Fit a lip shroud,PM01,56.59
2002-02-27,B,Refit left lip shroud,PM01,627.85
2002-03-08,B,refit adapter and tooth,PM01,1186.45
2002-03-12,B,FIT NEW TOOTH,PM01,397.57
2002-03-12,B,cut off broken wear package,PM01,0
2002-03-15,B,CHANGE ADAPTOR AND TOOTH,PM01,0
2002-03-17,B,replace adaptor & tooth,PM01,453.95
2002-03-17,B,replace lip shroud pin,PM01,107.42
2002-03-25,B,Replace adaptors as required,PM01,464.51
2002-03-25,B,repalced adaptor pins,PM01,464.52
2002-04-02,B,REPLACE L/H BUCKET CYLINDER GREASE LINE,PM01,11.2
2002-04-04,B,replace adaptor and tip,PM01,203.65
2002-04-10,B,"loose grease line on bucket ,",PM01,0
2002-04-16,B,O-RING U/S  ON BUCKET RAM,PM01,507.42
2002-04-17,B,TWO BUCKET TEETH AND ADAPTORS MISSING.,PM01,36.58
2002-04-19,B,Replace broken adaptor,PM01,378.47
2002-04-21,B,PARTS FOR BUCKET,PM01,129.33
2002-04-23,B,fitted two new adaptors,PM01,59.24
2002-04-26,B,replace bucket tip & pins,PM01,739.68
2002-04-26,B,REPLACE TOOTH & ADAPTOR,PM01,317.14
2002-04-29,B,BROKEN GREASE LINE ON BUCKET.,PM01,120
2002-05-06,B,repair to bucket,PM01,995.32
2002-05-09,B,Replace missing adaptors,PM01,6491.7
2002-05-11,B,lh outer lip shroud lost,PM01,283.12
2002-05-29,B,Rebuild spare lip GET,PM01,6454.45
2002-05-30,B,REFIT RH OUTER ADAPTER,PM01,143.25
2002-06-08,B,replace bent adapter pin,PM01,341.42
